"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2020-01-04T14:30:00Z","blue","17814F","8079M","None","None","9","17814E","5150J","None","None","29"
"Qualifier #2","2020-01-04T14:33:25Z","red","12345A","8878C","None","None","9","17814V","17814Y","None","None","3"
"Qualifier #3","2020-01-04T14:36:50Z","red","17814D","5150E","None","None","25","5150G","5150F","None","None","21"
"Qualifier #4","2020-01-04T14:40:15Z","tie","8878F","8878A","None","None","12","50239A","17814A","None","None","12"
"Qualifier #5","2020-01-04T14:43:40Z","blue","17814B","4478Z","None","None","10","4478V","8079R","None","None","33"
"Qualifier #6","2020-01-04T14:47:05Z","red","5150K","4478D","None","None","24","17814C","17814X","None","None","2"
"Qualifier #7","2020-01-04T14:50:30Z","blue","8878D","17814Z","None","None","8","8079A","4478R","None","None","15"
"Qualifier #8","2020-01-04T14:53:55Z","blue","50239B","4478B","None","None","6","4478C","5150H","None","None","22"
"Qualifier #9","2020-01-04T14:57:20Z","blue","1697A","8878G","None","None","0","41364A","8878B","None","None","23"
"Qualifier #10","2020-01-04T15:00:45Z","blue","5150D","1697B","None","None","4","4478F","8878E","None","None","12"
"Qualifier #11","2020-01-04T15:04:10Z","blue","8079C","17814W","None","None","13","4478V","8878C","None","None","31"
"Qualifier #12","2020-01-04T15:07:35Z","red","8878A","17814C","None","None","10","8878D","17814B","None","None","6"
"Qualifier #13","2020-01-04T15:11:00Z","blue","17814F","50239B","None","None","2","12345A","5150E","None","None","11"
"Qualifier #14","2020-01-04T15:14:25Z","red","8079R","5150F","None","None","9","4478B","8878F","None","None","1"
"Qualifier #15","2020-01-04T15:17:50Z","tie","4478C","50239A","None","None","12","5150K","1697A","None","None","12"
"Qualifier #16","2020-01-04T15:21:15Z","red","5150H","4478D","None","None","33","5150D","17814W","None","None","9"
"Qualifier #17","2020-01-04T15:24:40Z","blue","8079A","17814E","None","None","10","4478F","17814X","None","None","19"
"Qualifier #18","2020-01-04T15:28:05Z","red","5150G","17814Y","None","None","11","17814Z","1697B","None","None","6"
