"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2020-01-11T14:15:00Z","red","4478F","5150D","None","None","37","8370A","1618A","None","None","6"
"Qualifier #2","2020-01-11T14:17:20Z","blue","13085B","12345A","None","None","15","877H","5150G","None","None","47"
"Qualifier #3","2020-01-11T14:19:40Z","blue","14000C","39545A","None","None","8","4478C","1930B","None","None","12"
"Qualifier #4","2020-01-11T14:22:00Z","red","1188A","13085A","None","None","30","4478Z","5150J","None","None","22"
"Qualifier #5","2020-01-11T14:24:20Z","blue","50239B","8079R","None","None","10","9909B","8878B","None","None","20"
"Qualifier #6","2020-01-11T14:26:40Z","red","4478D","5319A","None","None","13","1695A","8079C","None","None","12"
"Qualifier #7","2020-01-11T14:29:00Z","red","8878A","228B","None","None","17","4478A","162A","None","None","7"
"Qualifier #8","2020-01-11T14:31:20Z","blue","228A","1695D","None","None","10","8878E","8079M","None","None","15"
"Qualifier #9","2020-01-11T14:33:40Z","blue","1930C","9909C","None","None","7","877J","5150H","None","None","28"
"Qualifier #10","2020-01-11T14:36:00Z","blue","3157A","1930E","None","None","4","1697B","5150E","None","None","29"
"Qualifier #11","2020-01-11T14:38:20Z","red","5150F","8884A","None","None","19","4478B","5319B","None","None","1"
"Qualifier #12","2020-01-11T14:40:40Z","blue","8079A","8884B","None","None","3","1695B","8878G","None","None","18"
"Qualifier #13","2020-01-11T14:43:00Z","red","4478R","41364A","None","None","48","17814W","5150K","None","None","13"
"Qualifier #14","2020-01-11T14:45:20Z","red","50239A","17814Z","None","None","19","7263A","17814X","None","None","7"
"Qualifier #15","2020-01-11T14:47:40Z","red","8878F","4478V","None","None","55","1188B","9909D","None","None","8"
"Qualifier #16","2020-01-11T14:50:00Z","red","375X","1695E","None","None","48","9909A","877Z","None","None","8"
"Qualifier #17","2020-01-11T14:52:20Z","red","1697A","17814V","None","None","8","8878D","1695C","None","None","6"
"Qualifier #18","2020-01-11T14:54:40Z","red","8878C","9909F","None","None","21","18891A","4478Z","None","None","16"
"Qualifier #19","2020-01-11T14:57:00Z","tie","5319B","1618A","None","None","6","1930C","1695A","None","None","6"
"Qualifier #20","2020-01-11T14:59:20Z","tie","8878E","13085B","None","None","23","5150D","50239B","None","None","23"
"Qualifier #21","2020-01-11T15:01:40Z","blue","8878G","5150E","None","None","5","41364A","5150H","None","None","42"
"Qualifier #22","2020-01-11T15:04:00Z","red","7263A","5150F","None","None","24","39545A","228B","None","None","5"
"Qualifier #23","2020-01-11T15:06:20Z","red","877J","877H","None","None","18","8079A","4478A","None","None","11"
"Qualifier #24","2020-01-11T15:08:40Z","red","5150K","9909A","None","None","11","17814Z","5319A","None","None","2"
"Qualifier #25","2020-01-11T15:11:00Z","red","8370A","4478B","None","None","12","162A","1188B","None","None","7"
"Qualifier #26","2020-01-11T15:13:20Z","red","5150G","18891A","None","None","29","4478R","8884B","None","None","28"
"Qualifier #27","2020-01-11T15:15:40Z","blue","1695C","4478F","None","None","16","14000C","9909F","None","None","19"
"Qualifier #28","2020-01-11T15:18:00Z","blue","1695B","8884A","None","None","16","8878C","12345A","None","None","18"
"Qualifier #29","2020-01-11T15:20:20Z","blue","8878D","9909D","None","None","2","1695D","4478D","None","None","61"
"Qualifier #30","2020-01-11T15:22:40Z","blue","877Z","1930B","None","None","9","3157A","8878F","None","None","19"
"Qualifier #31","2020-01-11T15:25:00Z","blue","9909B","17814W","None","None","9","17814V","1188A","None","None","21"
"Qualifier #32","2020-01-11T15:27:20Z","red","8878B","4478C","None","None","9","8878A","228A","None","None","4"
"Qualifier #33","2020-01-11T15:29:40Z","blue","8079M","1695E","None","None","13","8079R","1930E","None","None","35"
"Qualifier #34","2020-01-11T15:32:00Z","blue","17814X","5150J","None","None","19","1697A","8079C","None","None","24"
"Qualifier #35","2020-01-11T15:34:20Z","blue","13085A","375X","None","None","54","4478V","9909C","None","None","56"
"Qualifier #36","2020-01-11T15:36:40Z","blue","1697B","50239A","None","None","15","4478R","5150D","None","None","57"
"Qualifier #37","2020-01-11T15:39:00Z","blue","1930C","4478B","None","None","3","18891A","41364A","None","None","63"
"Qualifier #38","2020-01-11T15:41:20Z","red","1188B","877J","None","None","11","50239B","1695B","None","None","9"
"Qualifier #39","2020-01-11T15:43:40Z","red","1695D","5150H","None","None","37","9909F","5319A","None","None","5"
"Qualifier #40","2020-01-11T15:46:00Z","red","8884B","228A","None","None","20","1695C","39545A","None","None","5"
"Qualifier #41","2020-01-11T15:48:20Z","blue","877Z","7263A","None","None","5","4478C","17814V","None","None","12"
"Qualifier #42","2020-01-11T15:50:40Z","blue","1188A","8079R","None","None","12","5150E","877H","None","None","25"
"Qualifier #43","2020-01-11T15:53:00Z","blue","8878G","9909B","None","None","9","12345A","9909D","None","None","12"
"Qualifier #44","2020-01-11T15:55:20Z","blue","4478D","8878B","None","None","8","5150G","5319B","None","None","21"
"Qualifier #45","2020-01-11T15:57:40Z","red","50239A","4478F","None","None","19","375X","13085B","None","None","15"
"Qualifier #46","2020-01-11T16:00:00Z","blue","17814X","228B","None","None","16","13085A","8878D","None","None","19"
"Qualifier #47","2020-01-11T16:02:20Z","red","8079C","9909A","None","None","39","5150F","1930E","None","None","37"
