"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2020-01-17T15:00:00Z","blue","404Y","1353X","None","None","5","977Z","9909B","None","None","12"
"Qualifier #2","2020-01-17T15:03:30Z","red","63857A","242B","None","None","30","3303D","4180B","None","None","9"
"Qualifier #3","2020-01-17T15:07:00Z","blue","25461Z","62G","None","None","35","2442A","375X","None","None","46"
"Qualifier #4","2020-01-17T15:10:30Z","red","4478D","785E","None","None","52","9909A","11442Z","None","None","9"
"Qualifier #5","2020-01-17T15:14:00Z","blue","134C","2142D","None","None","19","9909C","169Z","None","None","35"
"Qualifier #6","2020-01-17T15:17:30Z","blue","10102A","7121D","None","None","11","1898A","169E","None","None","24"
"Qualifier #7","2020-01-17T15:21:00Z","red","369A","9909F","None","None","28","7121E","62B","None","None","17"
"Qualifier #8","2020-01-17T15:24:30Z","red","62A","9421X","None","None","29","134J","25600H","None","None","14"
"Qualifier #9","2020-01-17T15:28:00Z","blue","62K","4478F","None","None","12","785B","1353P","None","None","17"
"Qualifier #10","2020-01-17T15:31:30Z","red","1082B","2442F","None","None","64","11442X","134D","None","None","31"
"Qualifier #11","2020-01-17T15:35:00Z","red","169Y","63857D","None","None","27","10102Z","134Z","None","None","19"
"Qualifier #12","2020-01-17T15:38:30Z","red","2442E","2602A","None","None","34","2602H","1898M","None","None","1"
"Qualifier #13","2020-01-17T15:42:00Z","red","404S","6277B","None","None","58","785A","285Z","None","None","1"
"Qualifier #14","2020-01-17T15:45:30Z","red","2442B","1898R","None","None","86","242Y","5156A","None","None","23"
"Qualifier #15","2020-01-17T15:49:00Z","blue","1717B","4478V","None","None","53","4478R","62X","None","None","54"
"Qualifier #16","2020-01-17T15:52:30Z","red","2616Z","3303X","None","None","32","4180A","5150J","None","None","14"
"Qualifier #17","2020-01-17T15:56:00Z","blue","134M","169A","None","None","15","4478Z","25600X","None","None","16"
"Qualifier #18","2020-01-17T15:59:30Z","red","169X","40B","None","None","51","25600S","2602G","None","None","36"
