"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2020-01-19T14:00:00Z","blue","2602M","2602B","None","None","5","2602E","63857E","None","None","21"
"Qualifier #2","2020-01-19T14:05:00Z","red","2602H","63857D","None","None","82","1784Y","3379B","None","None","8"
"Qualifier #3","2020-01-19T14:10:00Z","blue","99928B","2602K","None","None","10","99928A","2602A","None","None","40"
"Qualifier #4","2020-01-19T14:15:00Z","blue","2602G","99928C","None","None","20","1784W","2602F","None","None","32"
"Qualifier #5","2020-01-19T14:20:00Z","red","2602C","977Z","None","None","7","99928E","63857B","None","None","3"
"Qualifier #6","2020-01-19T14:25:00Z","blue","2602D","99928D","None","None","9","63857A","3379A","None","None","41"
"Qualifier #7","2020-01-19T14:30:00Z","blue","99928A","63857E","None","None","7","1784W","63857D","None","None","15"
"Qualifier #8","2020-01-19T14:35:00Z","blue","63857B","2602E","None","None","14","99928B","2602G","None","None","27"
"Qualifier #9","2020-01-19T14:40:00Z","red","99928E","3379A","None","None","9","2602B","1784Y","None","None","1"
"Qualifier #10","2020-01-19T14:45:00Z","red","3379B","99928D","None","None","9","2602M","2602C","None","None","3"
"Qualifier #11","2020-01-19T14:50:00Z","red","2602F","2602D","None","None","25","977Z","2602K","None","None","4"
"Qualifier #12","2020-01-19T14:55:00Z","red","2602A","63857A","None","None","58","99928C","2602H","None","None","34"
"Qualifier #13","2020-01-19T15:00:00Z","red","1784Y","2602E","None","None","29","99928D","99928A","None","None","15"
"Qualifier #14","2020-01-19T15:05:00Z","red","2602K","1784W","None","None","15","63857B","2602B","None","None","6"
"Qualifier #15","2020-01-19T15:10:00Z","tie","3379A","2602C","None","None","30","2602A","2602F","None","None","30"
"Qualifier #16","2020-01-19T15:15:00Z","blue","2602G","63857E","None","None","5","2602H","3379B","None","None","33"
"Qualifier #17","2020-01-19T15:20:00Z","blue","977Z","99928C","None","None","24","2602D","63857D","None","None","36"
"Qualifier #18","2020-01-19T15:25:00Z","red","63857A","99928E","None","None","54","99928B","2602M","None","None","7"
"Qualifier #19","2020-01-19T15:30:00Z","red","2602B","2602A","None","None","24","2602G","99928D","None","None","6"
"Qualifier #20","2020-01-19T15:35:00Z","red","3379A","2602K","None","None","27","63857E","99928C","None","None","4"
"Qualifier #21","2020-01-19T15:40:00Z","blue","99928B","1784Y","None","None","8","2602C","2602D","None","None","18"
"Qualifier #22","2020-01-19T15:45:00Z","blue","3379B","1784W","None","None","3","63857A","977Z","None","None","75"
"Qualifier #23","2020-01-19T15:50:00Z","blue","99928A","63857B","None","None","5","2602H","2602M","None","None","20"
"Qualifier #24","2020-01-19T15:55:00Z","red","2602F","63857D","None","None","32","99928E","2602E","None","None","30"
"Qualifier #25","2020-01-19T16:00:00Z","red","99928D","977Z","None","None","28","99928B","63857E","None","None","7"
"Qualifier #26","2020-01-19T16:05:00Z","blue","99928C","99928A","None","None","3","2602B","2602C","None","None","11"
"Qualifier #27","2020-01-19T16:10:00Z","red","2602G","2602M","None","None","32","63857D","3379A","None","None","28"
"Qualifier #28","2020-01-19T16:15:00Z","red","63857A","1784Y","None","None","73","63857B","2602F","None","None","37"
"Qualifier #29","2020-01-19T16:20:00Z","blue","2602E","2602D","None","None","17","3379B","2602A","None","None","34"
"Qualifier #30","2020-01-19T16:25:00Z","red","1784W","2602H","None","None","23","2602K","99928E","None","None","18"
"Qualifier #31","2020-01-19T16:30:00Z","red","63857B","63857D","None","None","20","99928C","99928D","None","None","8"
"Qualifier #32","2020-01-19T16:35:00Z","blue","3379B","2602B","None","None","6","2602F","99928B","None","None","24"
"Qualifier #33","2020-01-19T16:40:00Z","blue","63857E","2602C","None","None","18","63857A","2602K","None","None","60"
"Qualifier #34","2020-01-19T16:45:00Z","blue","2602D","99928E","None","None","11","99928A","2602G","None","None","36"
"Qualifier #35","2020-01-19T16:50:00Z","red","2602H","977Z","None","None","43","2602E","3379A","None","None","31"
"Qualifier #36","2020-01-19T16:55:00Z","red","2602M","2602A","None","None","21","1784Y","1784W","None","None","2"
"R16 #2-1","N/A","red","3379B","99928B","None","None","12","2602M","99928D","None","None","6"
"R16 #4-1","N/A","red","3379A","2602G","None","None","21","63857E","99928C","None","None","7"
"R16 #6-1","N/A","blue","2602K","99928E","None","None","19","2602D","63857B","None","None","26"
"R16 #8-1","N/A","blue","2602C","2602E","None","None","5","99928A","2602B","None","None","9"
"QF #1-1","N/A","red","63857A","2602H","None","None","58","3379B","99928B","None","None","11"
"QF #2-1","N/A","blue","1784W","1784Y","None","None","2","3379A","2602G","None","None","20"
"QF #3-1","N/A","red","2602A","63857D","None","None","21","2602D","63857B","None","None","13"
"QF #4-1","N/A","red","2602F","977Z","None","None","54","99928A","2602B","None","None","9"
"SF #1-1","N/A","red","63857A","2602H","None","None","63","3379A","2602G","None","None","5"
"SF #2-1","N/A","red","2602A","63857D","None","None","54","2602F","977Z","None","None","38"
"Final #1-1","N/A","blue","63857A","2602H","None","None","29","2602A","63857D","None","None","51"
