"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2020-02-01T14:15:00Z","blue","8878F","61919B","None","None","6","8878G","66640B","None","None","9"
"Qualifier #2","2020-02-01T14:17:42Z","red","86388G","9909B","None","None","11","39545A","17814Z","None","None","8"
"Qualifier #3","2020-02-01T14:20:24Z","red","162A","38985B","None","None","19","17814F","8370A","None","None","4"
"Qualifier #4","2020-02-01T14:23:06Z","blue","17814D","5150G","None","None","4","8878B","1188B","None","None","6"
"Qualifier #5","2020-02-01T14:25:48Z","red","8878A","17814E","None","None","20","1697A","38985R","None","None","1"
"Qualifier #6","2020-02-01T14:28:30Z","red","17814A","17814C","None","None","18","38985A","17814Y","None","None","14"
"Qualifier #7","2020-02-01T14:31:12Z","blue","5150E","4478B","None","None","38","39545B","4478V","None","None","57"
"Qualifier #8","2020-02-01T14:33:54Z","red","16257B","41364A","None","None","12","5150H","9909C","None","None","10"
"Qualifier #9","2020-02-01T14:36:36Z","blue","8079C","8878E","None","None","5","61919A","31465A","None","None","11"
"Qualifier #10","2020-02-01T14:39:18Z","blue","877Z","9909A","None","None","20","3157N","8878D","None","None","22"
"Qualifier #11","2020-02-01T14:42:00Z","blue","5150F","4478C","None","None","3","4478R","16257A","None","None","47"
"Qualifier #12","2020-02-01T14:44:42Z","tie","877H","4478Z","None","None","12","17814W","17814B","None","None","12"
"Qualifier #13","2020-02-01T14:47:24Z","blue","50239B","8878C","None","None","5","17814X","18891A","None","None","31"
"Qualifier #14","2020-02-01T14:50:06Z","red","5150J","50239A","None","None","24","5150K","71441A","None","None","13"
"Qualifier #15","2020-02-01T14:52:48Z","red","877J","1188A","None","None","16","34404A","4478F","None","None","9"
"Qualifier #16","2020-02-01T14:55:30Z","red","17814V","5150D","None","None","11","66640A","16257B","None","None","10"
"Qualifier #17","2020-02-01T14:58:12Z","blue","17814D","38985R","None","None","2","8878F","8079C","None","None","9"
"Qualifier #18","2020-02-01T15:00:54Z","red","4478R","4478V","None","None","96","17814Y","66640B","None","None","8"
"Qualifier #19","2020-02-01T15:03:36Z","red","17814W","9909C","None","None","19","61919B","877Z","None","None","1"
"Qualifier #20","2020-02-01T15:06:18Z","blue","8878C","39545A","None","None","5","38985B","9909A","None","None","11"
"Qualifier #21","2020-02-01T15:09:00Z","red","162A","31465A","None","None","32","86388G","17814C","None","None","9"
"Qualifier #22","2020-02-01T15:11:42Z","blue","16257A","4478F","None","None","7","877H","17814A","None","None","9"
"Qualifier #23","2020-02-01T15:14:24Z","blue","8878B","17814Z","None","None","8","8878A","50239A","None","None","22"
"Qualifier #24","2020-02-01T15:17:06Z","red","5150K","9909B","None","None","16","41364A","5150D","None","None","15"
"Qualifier #25","2020-02-01T15:19:48Z","red","39545B","5150G","None","None","37","877J","17814E","None","None","18"
"Qualifier #26","2020-02-01T15:22:30Z","blue","1188A","1188B","None","None","8","17814V","4478Z","None","None","22"
"Qualifier #27","2020-02-01T15:25:12Z","red","61919A","5150H","None","None","11","34404A","50239B","None","None","7"
"Qualifier #28","2020-02-01T15:27:54Z","blue","17814F","8878G","None","None","18","5150J","17814B","None","None","24"
"Qualifier #29","2020-02-01T15:30:36Z","blue","38985A","71441A","None","None","2","4478B","8878D","None","None","20"
"Qualifier #30","2020-02-01T15:33:18Z","red","1697A","8878E","None","None","9","5150E","5150F","None","None","6"
"Qualifier #31","2020-02-01T15:36:00Z","red","3157N","18891A","None","None","28","4478C","8370A","None","None","6"
"Qualifier #32","2020-02-01T15:38:42Z","blue","17814X","66640A","None","None","11","17814E","41364A","None","None","26"
"Qualifier #33","2020-02-01T15:41:24Z","blue","1188B","86388G","None","None","3","877H","4478R","None","None","52"
"Qualifier #34","2020-02-01T15:44:06Z","red","877J","5150H","None","None","30","5150D","16257A","None","None","5"
"Qualifier #35","2020-02-01T15:46:48Z","red","61919A","16257B","None","None","13","5150G","17814W","None","None","2"
"Qualifier #36","2020-02-01T15:49:30Z","red","8878A","8878G","None","None","15","17814D","39545B","None","None","1"
"Qualifier #37","2020-02-01T15:52:12Z","red","5150E","17814A","None","None","14","8079C","17814F","None","None","8"
"Qualifier #38","2020-02-01T15:54:54Z","blue","4478B","31465A","None","None","3","5150K","18891A","None","None","22"
"Qualifier #39","2020-02-01T15:57:36Z","red","17814Y","4478F","None","None","16","61919B","3157N","None","None","14"
"Qualifier #40","2020-02-01T16:00:18Z","red","17814C","8878B","None","None","16","8878F","877Z","None","None","1"
"Qualifier #41","2020-02-01T16:03:00Z","red","9909A","4478Z","None","None","22","50239B","71441A","None","None","6"
"Qualifier #42","2020-02-01T16:05:42Z","red","17814V","66640B","None","None","12","8878E","38985R","None","None","9"
"Qualifier #43","2020-02-01T16:08:24Z","blue","17814B","8370A","None","None","6","9909B","38985A","None","None","23"
"Qualifier #44","2020-02-01T16:11:06Z","blue","38985B","5150F","None","None","5","17814X","9909C","None","None","19"
"Qualifier #45","2020-02-01T16:13:48Z","blue","8878D","4478C","None","None","12","1188A","17814Z","None","None","23"
"Qualifier #46","2020-02-01T16:16:30Z","red","4478V","5150J","None","None","44","8878C","1697A","None","None","4"
"Qualifier #47","2020-02-01T16:19:12Z","blue","39545A","34404A","None","None","1","50239A","162A","None","None","10"
"Qualifier #48","2020-02-01T16:21:54Z","blue","66640A","50239B","None","None","10","3157N","1188B","None","None","19"
"Qualifier #49","2020-02-01T16:24:36Z","blue","5150K","16257A","None","None","6","16257B","8878F","None","None","10"
"Qualifier #50","2020-02-01T16:27:18Z","blue","8370A","39545B","None","None","2","17814C","71441A","None","None","11"
"Qualifier #51","2020-02-01T16:30:00Z","red","9909C","18891A","None","None","21","66640B","86388G","None","None","3"
"Qualifier #52","2020-02-01T16:32:42Z","red","17814F","17814X","None","None","39","8878E","8878A","None","None","23"
"Qualifier #53","2020-02-01T16:35:24Z","red","4478R","877Z","None","None","11","5150E","5150G","None","None","7"
"Qualifier #54","2020-02-01T16:38:06Z","blue","162A","8878G","None","None","12","4478F","5150H","None","None","22"
"Qualifier #55","2020-02-01T16:40:48Z","blue","17814Y","8878D","None","None","8","8878B","66640A","None","None","9"
"Qualifier #56","2020-02-01T16:43:30Z","red","8079C","17814E","None","None","19","5150F","877H","None","None","10"
"Qualifier #57","2020-02-01T16:46:12Z","red","877J","17814D","None","None","9","38985B","31465A","None","None","5"
"Qualifier #58","2020-02-01T16:48:54Z","red","41364A","17814W","None","None","23","39545A","38985R","None","None","1"
"Qualifier #59","2020-02-01T16:51:36Z","red","9909B","4478V","None","None","40","4478Z","61919A","None","None","23"
"Qualifier #60","2020-02-01T16:54:18Z","blue","50239A","17814B","None","None","5","5150D","1188A","None","None","26"
"Qualifier #61","2020-02-01T16:57:00Z","red","17814Z","1697A","None","None","14","34404A","17814V","None","None","3"
"Qualifier #62","2020-02-01T16:59:42Z","blue","17814A","61919B","None","None","3","8878C","4478B","None","None","14"
"Qualifier #63","2020-02-01T17:02:24Z","red","38985A","5150J","None","None","42","4478C","9909A","None","None","37"
"Qualifier #64","2020-02-01T17:05:06Z","blue","66640A","17814C","None","None","9","877J","5150E","None","None","29"
"Qualifier #65","2020-02-01T17:07:48Z","red","4478F","5150F","None","None","20","17814F","50239B","None","None","13"
"Qualifier #66","2020-02-01T17:10:30Z","red","4478Z","66640B","None","None","14","8878D","17814E","None","None","11"
"Qualifier #67","2020-02-01T17:13:12Z","blue","16257B","71441A","None","None","6","17814B","8878E","None","None","13"
"Qualifier #68","2020-02-01T17:15:54Z","blue","16257A","5150G","None","None","6","8079C","4478V","None","None","70"
"Qualifier #69","2020-02-01T17:18:36Z","blue","8878F","31465A","None","None","4","1697A","39545A","None","None","10"
"Qualifier #70","2020-02-01T17:21:18Z","blue","61919B","38985A","None","None","3","61919A","17814Z","None","None","20"
"Qualifier #71","2020-02-01T17:24:00Z","red","38985B","4478B","None","None","10","86388G","8878A","None","None","8"
"Qualifier #72","2020-02-01T17:26:42Z","blue","38985R","4478C","None","None","7","17814X","17814A","None","None","22"
"Qualifier #73","2020-02-01T17:29:24Z","red","4478R","34404A","None","None","40","18891A","8878G","None","None","5"
"Qualifier #74","2020-02-01T17:32:06Z","red","1188B","9909A","None","None","22","39545B","41364A","None","None","4"
"Qualifier #75","2020-02-01T17:34:48Z","blue","5150K","9909C","None","None","15","162A","17814V","None","None","28"
"Qualifier #76","2020-02-01T17:37:30Z","blue","877H","3157N","None","None","8","9909B","1188A","None","None","18"
"Qualifier #77","2020-02-01T17:40:12Z","blue","5150D","17814W","None","None","8","5150J","8878B","None","None","29"
"Qualifier #78","2020-02-01T17:42:54Z","red","5150H","8370A","None","None","12","877Z","8878C","None","None","6"
"Qualifier #79","2020-02-01T17:45:36Z","red","17814Y","50239A","None","None","13","17814D","86388G","None","None","10"
"Qualifier #80","2020-02-01T17:48:18Z","tie","8878F","61919A","None","None","0","877J","17814X","None","None","0"
"Qualifier #81","2020-02-01T17:51:00Z","tie","66640B","5150E","None","None","0","1188B","16257B","None","None","0"
"Qualifier #82","2020-02-01T17:53:42Z","tie","1697A","5150K","None","None","0","8878G","4478Z","None","None","0"
"Qualifier #83","2020-02-01T17:56:24Z","tie","34404A","3157N","None","None","0","17814C","8079C","None","None","0"
"Qualifier #84","2020-02-01T17:59:06Z","tie","8878E","9909B","None","None","0","17814W","4478B","None","None","0"
"Qualifier #85","2020-02-01T18:01:48Z","tie","877Z","877H","None","None","0","50239B","5150J","None","None","0"
"Qualifier #86","2020-02-01T18:04:30Z","tie","8878A","5150D","None","None","0","17814Y","8370A","None","None","0"
"Qualifier #87","2020-02-01T18:07:12Z","tie","17814V","8878D","None","None","0","17814D","39545A","None","None","0"
"Qualifier #88","2020-02-01T18:09:54Z","tie","71441A","41364A","None","None","0","4478R","61919B","None","None","0"
"Qualifier #89","2020-02-01T18:12:36Z","tie","38985A","5150F","None","None","0","5150H","31465A","None","None","0"
"Qualifier #90","2020-02-01T18:15:18Z","tie","8878B","17814F","None","None","0","4478V","38985R","None","None","0"
"Qualifier #91","2020-02-01T18:18:00Z","tie","17814Z","18891A","None","None","0","9909A","17814E","None","None","0"
"Qualifier #92","2020-02-01T18:20:42Z","tie","17814B","4478C","None","None","0","66640A","9909C","None","None","0"
"Qualifier #93","2020-02-01T18:23:24Z","tie","39545B","8878C","None","None","0","50239A","4478F","None","None","0"
"Qualifier #94","2020-02-01T18:26:06Z","tie","1188A","5150G","None","None","0","38985B","17814A","None","None","0"
"Qualifier #95","2020-02-01T18:28:48Z","tie","17814X","162A","None","None","0","4478Z","16257A","None","None","0"
