"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #2","2020-02-08T14:33:30Z","red","4478Z","94994A","None","None","14","18891A","785A","None","None","2"
"Qualifier #3","2020-02-08T14:37:00Z","blue","1784Y","4478R","None","None","62","1090A","81118P","None","None","75"
"Qualifier #4","2020-02-08T14:40:30Z","blue","75735A","785E","None","None","7","977Z","49585B","None","None","10"
"Qualifier #5","2020-02-08T14:44:00Z","blue","785B","1717B","None","None","15","9421V","41364A","None","None","17"
"Qualifier #6","2020-02-08T14:47:30Z","red","785Z","549C","None","None","58","1090M","75735B","None","None","8"
"Qualifier #7","2020-02-08T14:51:00Z","blue","1573A","1573B","None","None","16","94994B","4478Z","None","None","32"
"Qualifier #8","2020-02-08T14:54:30Z","red","1784X","785A","None","None","32","4478R","785E","None","None","24"
"Qualifier #9","2020-02-08T14:58:00Z","blue","4478C","49585B","None","None","13","1784Y","785Z","None","None","26"
"Qualifier #10","2020-02-08T15:01:30Z","blue","1573B","94994A","None","None","10","10102X","1717B","None","None","61"
"Qualifier #11","2020-02-08T15:05:00Z","red","9421V","81118P","None","None","45","549C","785B","None","None","17"
"Qualifier #12","2020-02-08T15:08:30Z","red","4478F","41364A","None","None","43","1090M","1573A","None","None","3"
"Qualifier #13","2020-02-08T15:12:00Z","blue","1090A","977Z","None","None","7","75735B","18891A","None","None","22"
"Qualifier #14","2020-02-08T15:15:30Z","blue","75735A","94994B","None","None","1","9421V","4478C","None","None","17"
"Qualifier #15","2020-02-08T15:19:00Z","tie","785E","4478Z","None","None","16","1573B","785Z","None","None","16"
"Qualifier #16","2020-02-08T15:22:30Z","blue","1784Y","1717B","None","None","4","977Z","1573A","None","None","14"
"Qualifier #17","2020-02-08T15:26:00Z","red","81118P","4478F","None","None","86","94994B","785A","None","None","21"
"Qualifier #18","2020-02-08T15:29:30Z","red","18891A","1090M","None","None","31","75735A","10102X","None","None","22"
"Qualifier #19","2020-02-08T15:33:00Z","blue","1090A","49585B","None","None","12","41364A","1784X","None","None","44"
"Qualifier #20","2020-02-08T15:36:30Z","red","75735B","4478R","None","None","52","94994A","785B","None","None","13"
"Qualifier #21","2020-02-08T15:40:00Z","blue","549C","785A","None","None","14","75735A","1717B","None","None","31"
"Qualifier #22","2020-02-08T15:43:30Z","blue","18891A","41364A","None","None","11","81118P","1573B","None","None","42"
"Qualifier #23","2020-02-08T15:47:00Z","blue","1090M","9421V","None","None","17","4478C","1090A","None","None","39"
"Qualifier #24","2020-02-08T15:50:30Z","blue","10102X","1573A","None","None","15","4478R","49585B","None","None","54"
"Qualifier #25","2020-02-08T15:54:00Z","red","1784X","977Z","None","None","67","549C","94994A","None","None","21"
"Qualifier #26","2020-02-08T15:57:30Z","blue","94994B","785B","None","None","2","785Z","785E","None","None","24"
"Qualifier #27","2020-02-08T16:01:00Z","blue","75735B","1784Y","None","None","16","4478F","4478Z","None","None","24"
"Qualifier #28","2020-02-08T16:04:30Z","red","49585B","81118P","None","None","23","1090M","1573B","None","None","5"
"Qualifier #29","2020-02-08T16:08:00Z","blue","94994B","977Z","None","None","12","4478R","549C","None","None","43"
"Qualifier #30","2020-02-08T16:11:30Z","red","785Z","94994A","None","None","26","75735A","1573A","None","None","6"
"Qualifier #31","2020-02-08T16:15:00Z","blue","18891A","75735B","None","None","22","9421V","1784X","None","None","33"
"Qualifier #32","2020-02-08T16:18:30Z","red","785E","1090A","None","None","47","4478F","1717B","None","None","39"
"Qualifier #33","2020-02-08T16:22:00Z","red","785B","4478Z","None","None","36","1784Y","10102X","None","None","27"
"Qualifier #34","2020-02-08T16:25:30Z","red","785A","41364A","None","None","18","4478C","977Z","None","None","4"
"Qualifier #35","2020-02-08T16:29:00Z","red","9421V","4478F","None","None","13","49585B","94994A","None","None","6"
"Qualifier #36","2020-02-08T16:32:30Z","red","94994B","10102X","None","None","52","75735B","1090A","None","None","13"
"Qualifier #37","2020-02-08T16:36:00Z","red","4478R","75735A","None","None","28","41364A","4478Z","None","None","16"
"Qualifier #38","2020-02-08T16:39:30Z","blue","4478C","1573A","None","None","16","18891A","549C","None","None","33"
"Qualifier #39","2020-02-08T16:43:00Z","blue","785Z","1717B","None","None","47","81118P","1784X","None","None","65"
"Qualifier #40","2020-02-08T16:46:30Z","blue","1090M","785A","None","None","9","785E","1784Y","None","None","20"
"Qualifier #41","2020-02-08T16:50:00Z","red","1573B","785B","None","None","5","977Z","4478F","None","None","2"
"Qualifier #42","2020-02-08T16:53:30Z","blue","549C","1090A","None","None","8","49585B","4478Z","None","None","20"
"Qualifier #43","2020-02-08T16:57:00Z","red","1784Y","94994A","None","None","15","41364A","94994B","None","None","7"
"Qualifier #44","2020-02-08T18:30:00Z","blue","1717B","4478C","None","None","12","4478R","1573B","None","None","51"
"Qualifier #45","2020-02-08T18:33:15Z","red","785Z","10102X","None","None","20","785A","9421V","None","None","17"
"Qualifier #46","2020-02-08T18:36:30Z","blue","1784X","1090M","None","None","33","785B","75735A","None","None","37"
"Qualifier #47","2020-02-08T18:39:45Z","red","81118P","1573A","None","None","31","785E","75735B","None","None","26"
"Qualifier #48","2020-02-08T18:43:00Z","blue","18891A","4478F","None","None","24","4478R","785Z","None","None","62"
"Qualifier #49","2020-02-08T18:46:15Z","blue","9421V","977Z","None","None","9","4478Z","1090M","None","None","14"
"Qualifier #50","2020-02-08T18:49:30Z","red","1573B","1784X","None","None","27","1784Y","75735A","None","None","25"
"Qualifier #51","2020-02-08T18:52:45Z","red","18891A","49585B","None","None","10","94994B","1717B","None","None","1"
"Qualifier #52","2020-02-08T18:56:00Z","red","75735B","81118P","None","None","29","4478C","94994A","None","None","12"
"Qualifier #53","2020-02-08T18:59:15Z","red","785E","549C","None","None","39","10102X","41364A","None","None","34"
"Qualifier #54","2020-02-08T19:02:30Z","blue","785A","1573A","None","None","8","785B","1090A","None","None","11"
"Qualifier #1","2020-02-08T14:30:00Z","red","4478C","10102X","None","None","12","1784X","4478F","None","None","8"
"R16 #2-1","N/A","red","49585B","75735B","None","None","16","1573B","4478C","None","None","12"
"R16 #4-1","N/A","red","9421V","4478F","None","None","39","94994B","785A","None","None","4"
"R16 #6-1","N/A","red","18891A","977Z","None","None","24","785B","1717B","None","None","15"
"R16 #8-1","N/A","red","1090A","549C","None","None","30","75735A","94994A","None","None","20"
"QF #2-1","N/A","red","1784X","785E","None","None","29","9421V","4478F","None","None","23"
"QF #1-1","N/A","red","81118P","4478R","None","None","60","49585B","75735B","None","None","4"
"QF #3-1","N/A","tie","4478Z","41364A","None","None","11","18891A","977Z","None","None","11"
"QF #4-1","N/A","red","785Z","10102X","None","None","52","1090A","549C","None","None","26"
"QF #3-2","N/A","blue","4478Z","41364A","None","None","17","18891A","977Z","None","None","20"
"SF #1-1","N/A","red","81118P","4478R","None","None","4","1784X","785E","None","None","0"
"SF #2-1","N/A","red","18891A","977Z","None","None","27","785Z","10102X","None","None","14"
"Final #1-1","N/A","blue","81118P","4478R","None","None","18","18891A","977Z","None","None","32"
