"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2019-10-19T13:15:00Z","blue","1898A","4478Z","None","None","2","5150H","4478D","None","None","10"
"Qualifier #2","2019-10-19T13:19:00Z","blue","8079R","1695C","None","None","1","8079M","5150G","None","None","7"
"Qualifier #3","2019-10-19T13:23:00Z","blue","4478A","8878A","None","None","2","8878C","1898R","None","None","7"
"Qualifier #4","2019-10-19T13:27:00Z","red","5150D","8878E","None","None","7","8878F","8878D","None","None","3"
"Qualifier #5","2019-10-19T13:31:00Z","blue","8370A","5150J","None","None","7","1898M","5150F","None","None","8"
"Qualifier #6","2019-10-19T13:35:00Z","blue","8878B","1697B","None","None","1","8878G","4478V","None","None","6"
"Qualifier #7","2019-10-19T13:39:00Z","red","1697A","8079A","None","None","10","4478B","18891A","None","None","3"
"Qualifier #8","2019-10-19T13:43:00Z","red","1695B","8079C","None","None","7","4478F","18891B","None","None","6"
"Qualifier #9","2019-10-19T13:47:00Z","red","4478C","5150E","None","None","6","4478R","1695A","None","None","5"
"Qualifier #10","2019-10-19T13:51:00Z","blue","8079R","8370A","None","None","3","1697B","4478Z","None","None","4"
"Qualifier #11","2019-10-19T13:55:00Z","blue","18891A","1898R","None","None","6","8878B","5150F","None","None","7"
"Qualifier #12","2019-10-19T13:59:00Z","red","8079M","1898M","None","None","21","8878A","18891B","None","None","9"
"Qualifier #13","2019-10-19T14:03:00Z","blue","4478C","8878F","None","None","3","1695B","8079A","None","None","11"
"Qualifier #14","2019-10-19T14:07:00Z","red","5150G","5150H","None","None","7","8878G","8878C","None","None","3"
"Qualifier #15","2019-10-19T14:11:00Z","blue","4478F","8878E","None","None","0","1898A","5150J","None","None","8"
"Qualifier #16","2019-10-19T14:15:00Z","blue","4478B","1695A","None","None","4","1695C","5150D","None","None","6"
"Qualifier #17","2019-10-19T14:19:00Z","red","4478D","4478V","None","None","9","5150E","8878D","None","None","3"
"Qualifier #18","2019-10-19T14:23:00Z","red","4478R","1697A","None","None","4","4478A","8079C","None","None","3"
"Qualifier #19","2019-10-19T14:27:00Z","blue","5150H","5150J","None","None","4","1695B","8079R","None","None","13"
"Qualifier #20","2019-10-19T14:31:00Z","tie","4478B","8878F","None","None","3","8878B","8370A","None","None","3"
"Qualifier #21","2019-10-19T14:35:00Z","red","18891A","4478Z","None","None","12","4478F","5150E","None","None","6"
"Qualifier #22","2019-10-19T14:39:00Z","red","8878C","18891B","None","None","8","4478C","8878D","None","None","6"
"Qualifier #23","2019-10-19T14:43:00Z","blue","1898A","1898R","None","None","1","1697A","5150D","None","None","12"
"Qualifier #24","2019-10-19T14:47:00Z","blue","4478A","8079M","None","None","6","4478D","8079A","None","None","8"
"Qualifier #25","2019-10-19T14:51:00Z","red","5150F","8878G","None","None","9","8079C","8878E","None","None","5"
"Qualifier #26","2019-10-19T14:55:00Z","red","1697B","1695A","None","None","9","5150G","1898M","None","None","3"
"Qualifier #27","2019-10-19T14:59:00Z","red","4478V","8878A","None","None","3","4478R","1695C","None","None","1"
"Qualifier #28","2019-10-19T15:03:00Z","red","4478B","18891B","None","None","8","5150H","1898R","None","None","3"
"Qualifier #29","2019-10-19T15:07:00Z","red","8079C","8878B","None","None","4","8079A","5150D","None","None","3"
"Qualifier #30","2019-10-19T15:11:00Z","blue","5150J","1697A","None","None","8","1695A","4478Z","None","None","13"
"Qualifier #31","2019-10-19T15:15:00Z","blue","1898M","5150E","None","None","5","1898A","8079R","None","None","6"
"Qualifier #32","2019-10-19T15:19:00Z","red","4478D","4478R","None","None","16","8878F","1697B","None","None","4"
"Qualifier #33","2019-10-19T15:23:00Z","red","5150G","8878D","None","None","9","1695B","8878A","None","None","3"
"Qualifier #34","2019-10-19T15:27:00Z","red","8878G","4478F","None","None","6","4478A","8370A","None","None","3"
"Qualifier #35","2019-10-19T15:31:00Z","blue","8878C","5150F","None","None","1","4478V","8079M","None","None","21"
"Qualifier #36","2019-10-19T15:35:00Z","blue","1695C","4478C","None","None","3","18891A","8878E","None","None","10"
"Qualifier #37","2019-10-19T15:39:00Z","red","5150G","4478R","None","None","9","8878B","4478Z","None","None","7"
"Qualifier #38","2019-10-19T15:43:00Z","red","18891B","8878F","None","None","7","1697A","5150E","None","None","6"
"Qualifier #39","2019-10-19T15:47:00Z","blue","5150D","4478F","None","None","11","5150H","4478V","None","None","22"
"Qualifier #40","2019-10-19T15:51:00Z","blue","8878D","8079R","None","None","3","1695A","8079C","None","None","4"
"Qualifier #41","2019-10-19T15:55:00Z","blue","1695C","1898M","None","None","3","1898R","4478D","None","None","30"
"Qualifier #42","2019-10-19T15:59:00Z","blue","8878G","18891A","None","None","9","8079M","5150J","None","None","21"
"Qualifier #43","2019-10-19T16:03:00Z","red","4478A","1695B","None","None","26","5150F","1697B","None","None","8"
"Qualifier #44","2019-10-19T16:07:00Z","red","1898A","8878A","None","None","8","4478C","4478B","None","None","3"
"Qualifier #45","2019-10-19T16:11:00Z","blue","8079A","8878C","None","None","3","8878E","8370A","None","None","4"
"Qualifier #46","2019-10-19T16:15:00Z","red","8878B","4478D","None","None","25","5150J","18891B","None","None","2"
"Qualifier #47","2019-10-19T16:19:00Z","red","5150F","5150D","None","None","22","4478R","8079R","None","None","6"
"Qualifier #48","2019-10-19T16:23:00Z","blue","8079C","5150E","None","None","6","5150G","1898R","None","None","11"
"Qualifier #49","2019-10-19T16:27:00Z","red","8878D","8079A","None","None","7","1695C","5150H","None","None","6"
"Qualifier #50","2019-10-19T16:31:00Z","blue","1695A","8878F","None","None","6","4478F","8878A","None","None","12"
"Qualifier #51","2019-10-19T16:35:00Z","tie","8370A","8079M","None","None","9","4478C","1697A","None","None","9"
"Qualifier #52","2019-10-19T16:39:00Z","red","4478V","8878E","None","None","21","4478B","4478A","None","None","3"
"Qualifier #53","2019-10-19T16:43:00Z","red","1695B","4478Z","None","None","15","1898M","8878G","None","None","5"
"Qualifier #54","2019-10-19T16:47:00Z","red","1697B","1898A","None","None","16","18891A","8878C","None","None","9"
"R16 #1-1","N/A","red","4478D","4478V","None","None","8","4478B","5150E","None","None","0"
"R16 #2-1","N/A","blue","8878E","1898R","None","None","12","1898A","5150J","None","None","23"
"R16 #3-1","N/A","red","4478Z","4478R","None","None","9","8878G","8079R","None","None","6"
"R16 #4-1","N/A","red","1695A","5150H","None","None","7","18891B","8878A","None","None","5"
"R16 #5-1","N/A","red","1695B","5150G","None","None","17","8878D","8878C","None","None","2"
"R16 #6-1","N/A","red","8079A","4478F","None","None","20","1697A","8079C","None","None","6"
"R16 #7-1","N/A","red","8079M","1898M","None","None","22","1697B","18891A","None","None","12"
"R16 #8-1","N/A","tie","5150D","5150F","None","None","6","8878B","8370A","None","None","6"
"QF #1-1","N/A","blue","4478D","4478V","None","None","14","1898A","5150J","None","None","21"
"R16 #8-2","N/A","blue","5150D","5150F","None","None","3","8878B","8370A","None","None","9"
"QF #3-1","N/A","red","1695B","5150G","None","None","20","8079A","4478F","None","None","16"
"QF #2-1","N/A","red","4478Z","4478R","None","None","11","1695A","5150H","None","None","4"
"QF #4-1","N/A","red","8079M","1898M","None","None","32","8878B","8370A","None","None","9"
"SF #1-1","N/A","blue","1898A","5150J","None","None","6","4478Z","4478R","None","None","10"
"SF #2-1","N/A","blue","1695B","5150G","None","None","20","8079M","1898M","None","None","28"
"Final #1-1","N/A","blue","4478Z","4478R","None","None","4","8079M","1898M","None","None","7"
