"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2019-11-02T13:30:00Z","blue","5150J","1188A","None","None","15","1695B","5150H","None","None","19"
"Qualifier #2","2019-11-02T13:33:30Z","blue","8878D","5150F","None","None","3","1695C","4478D","None","None","8"
"Qualifier #3","2019-11-02T13:37:00Z","blue","5150D","8878F","None","None","4","4478Z","4478R","None","None","22"
"Qualifier #4","2019-11-02T13:40:30Z","red","4478F","8878E","None","None","16","1697A","1695E","None","None","2"
"Qualifier #5","2019-11-02T13:44:00Z","red","195D","8878G","None","None","6","9909A","195E","None","None","5"
"Qualifier #6","2019-11-02T13:47:30Z","red","5150E","195C","None","None","9","8878A","1695D","None","None","6"
"Qualifier #7","2019-11-02T13:51:00Z","blue","9909C","195B","None","None","2","375X","1188B","None","None","21"
"Qualifier #8","2019-11-02T13:54:30Z","blue","1697B","8878C","None","None","3","5150G","1695A","None","None","8"
"Qualifier #9","2019-11-02T13:58:00Z","red","9909B","4478A","None","None","8","8878B","195A","None","None","6"
"Qualifier #10","2019-11-02T14:01:30Z","red","4478V","4478B","None","None","24","169Y","4478C","None","None","2"
"Qualifier #11","2019-11-02T14:05:00Z","blue","8878A","1695E","None","None","10","1695C","5150J","None","None","15"
"Qualifier #12","2019-11-02T14:08:30Z","red","375X","1695B","None","None","24","5150D","9909A","None","None","18"
"Qualifier #14","2019-11-02T14:15:30Z","red","1697B","5150E","None","None","9","195D","1188A","None","None","5"
"Qualifier #13","2019-11-02T14:12:00Z","red","1188B","5150G","None","None","12","8878G","4478R","None","None","10"
"Qualifier #15","2019-11-02T14:19:00Z","blue","5150H","1697A","None","None","2","169Y","1695A","None","None","24"
"Qualifier #16","2019-11-02T14:22:30Z","blue","9909C","4478C","None","None","6","5150F","4478F","None","None","19"
"Qualifier #17","2019-11-02T14:26:00Z","red","4478Z","8878B","None","None","15","195B","4478D","None","None","6"
"Qualifier #18","2019-11-02T14:29:30Z","red","4478A","195E","None","None","4","195C","8878F","None","None","2"
"Qualifier #19","2019-11-02T14:33:00Z","red","8878E","195A","None","None","6","4478B","8878D","None","None","2"
"Qualifier #20","2019-11-02T14:36:30Z","red","1695D","4478V","None","None","34","8878C","9909B","None","None","13"
"Qualifier #21","2019-11-02T14:40:00Z","red","169Y","5150F","None","None","25","1695B","8878G","None","None","1"
"Qualifier #22","2019-11-02T14:43:30Z","blue","1697A","1695C","None","None","2","375X","5150E","None","None","18"
"Qualifier #23","2019-11-02T14:47:00Z","red","8878A","1695A","None","None","15","4478A","1188B","None","None","6"
"Qualifier #24","2019-11-02T14:50:30Z","red","4478D","4478B","None","None","27","5150D","5150J","None","None","7"
"Qualifier #25","2019-11-02T14:54:00Z","red","9909B","1695E","None","None","9","195B","8878D","None","None","6"
"Qualifier #26","2019-11-02T14:57:30Z","blue","8878B","195D","None","None","6","9909C","8878E","None","None","9"
"Qualifier #27","2019-11-02T15:01:00Z","blue","4478R","195C","None","None","23","4478V","5150H","None","None","32"
"Qualifier #28","2019-11-02T15:04:30Z","red","4478F","5150G","None","None","19","1188A","4478Z","None","None","12"
"Qualifier #29","2019-11-02T15:08:00Z","red","9909A","1695D","None","None","9","8878F","1697B","None","None","5"
"Qualifier #30","2019-11-02T15:11:30Z","red","4478C","195E","None","None","7","195A","8878C","None","None","5"
"Qualifier #31","2019-11-02T15:15:00Z","blue","1695B","1695C","None","None","5","8878B","4478B","None","None","9"
"Qualifier #32","2019-11-02T15:18:30Z","blue","4478R","169Y","None","None","3","8878E","8878A","None","None","9"
"Qualifier #33","2019-11-02T15:22:00Z","blue","1695A","8878G","None","None","16","4478F","9909B","None","None","18"
"Qualifier #34","2019-11-02T15:25:30Z","blue","8878F","1188B","None","None","9","195D","5150F","None","None","10"
"Qualifier #35","2019-11-02T15:29:00Z","red","5150H","4478Z","None","None","12","1697B","8878D","None","None","3"
"Qualifier #36","2019-11-02T15:32:30Z","blue","9909A","1188A","None","None","2","195C","4478D","None","None","42"
"Qualifier #37","2019-11-02T15:36:00Z","tie","5150J","375X","None","None","46","4478V","195A","None","None","46"
"Qualifier #38","2019-11-02T15:39:30Z","blue","8878C","195B","None","None","5","4478A","5150E","None","None","10"
"Qualifier #39","2019-11-02T15:43:00Z","red","5150G","1695E","None","None","24","4478C","1695D","None","None","6"
"Qualifier #40","2019-11-02T15:46:30Z","blue","5150D","1697A","None","None","10","195E","9909C","None","None","14"
"Qualifier #41","2019-11-02T15:50:00Z","red","4478D","8878E","None","None","18","1188B","1697B","None","None","2"
"Qualifier #42","2019-11-02T15:53:30Z","red","4478Z","9909B","None","None","28","5150J","169Y","None","None","23"
"Qualifier #43","2019-11-02T15:57:00Z","red","1695B","4478F","None","None","17","8878A","8878F","None","None","3"
"Qualifier #44","2019-11-02T16:00:30Z","red","8878D","4478R","None","None","17","5150E","4478C","None","None","16"
"Qualifier #45","2019-11-02T16:04:00Z","red","195B","1695A","None","None","9","1695C","195E","None","None","5"
"Qualifier #46","2019-11-02T16:07:30Z","blue","8878G","1188A","None","None","8","1695D","1697A","None","None","12"
"Qualifier #47","2019-11-02T16:11:00Z","red","195A","5150F","None","None","20","195C","5150D","None","None","12"
"Qualifier #48","2019-11-02T16:14:30Z","red","4478B","375X","None","None","15","195D","8878C","None","None","3"
"Qualifier #49","2019-11-02T16:18:00Z","red","8878B","4478V","None","None","25","5150G","9909A","None","None","6"
"Qualifier #50","2019-11-02T16:21:30Z","blue","4478A","9909C","None","None","6","5150H","1695E","None","None","7"
"Qualifier #51","2019-11-02T16:25:00Z","red","8878F","4478C","None","None","9","1188A","9909B","None","None","6"
"Qualifier #52","2019-11-02T16:28:30Z","red","169Y","1695D","None","None","8","8878D","1188B","None","None","2"
"Qualifier #53","2019-11-02T16:32:00Z","red","4478Z","195E","None","None","31","4478B","5150F","None","None","22"
"Qualifier #54","2019-11-02T16:35:30Z","blue","5150J","1697B","None","None","17","4478F","4478R","None","None","23"
