"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2019-11-02T13:30:00Z","blue","3379A","49585B","None","None","6","4344Z","1898R","None","None","7"
"Qualifier #2","2019-11-02T13:36:00Z","red","9421X","4898A","None","None","12","2606B","1898S","None","None","5"
"Qualifier #3","2019-11-02T13:42:00Z","blue","4344Y","817F","None","None","6","2442B","4344X","None","None","38"
"Qualifier #4","2019-11-02T13:48:00Z","red","1898A","4898C","None","None","15","817D","4344A","None","None","2"
"Qualifier #5","2019-11-02T13:54:00Z","blue","3157A","4898B","None","None","6","64345A","817B","None","None","13"
"Qualifier #6","2019-11-02T14:00:00Z","tie","2606C","2606A","None","None","6","4811A","3379A","None","None","6"
"Qualifier #7","2019-11-02T14:06:00Z","red","817D","817B","None","None","25","4344Z","1898S","None","None","7"
"Qualifier #8","2019-11-02T14:12:00Z","red","4344X","4898A","None","None","12","4898B","4898C","None","None","3"
"Qualifier #9","2019-11-02T14:18:00Z","blue","1898R","64345A","None","None","3","817F","2606C","None","None","9"
"Qualifier #10","2019-11-02T14:24:00Z","red","2442B","1898A","None","None","15","9421X","3157A","None","None","4"
"Qualifier #11","2019-11-02T14:30:00Z","red","2606B","4811A","None","None","6","49585B","4344Y","None","None","0"
"Qualifier #12","2019-11-02T14:36:00Z","blue","4344A","1898S","None","None","4","2606A","1898R","None","None","10"
"Qualifier #13","2019-11-02T14:42:00Z","blue","49585B","817B","None","None","0","64345A","9421X","None","None","4"
"Qualifier #14","2019-11-02T14:48:00Z","red","3157A","2606C","None","None","6","2606A","2606B","None","None","0"
"Qualifier #15","2019-11-02T14:54:00Z","red","4811A","4898B","None","None","18","4344A","817F","None","None","0"
"Qualifier #16","2019-11-02T15:00:00Z","red","2442B","3379A","None","None","20","4898C","817D","None","None","2"
"Qualifier #17","2019-11-02T15:06:00Z","blue","4344Z","4344Y","None","None","8","4898A","1898A","None","None","22"
"Qualifier #18","2019-11-02T15:12:00Z","red","4344X","4344A","None","None","11","9421X","2606C","None","None","7"
"Qualifier #19","2019-11-02T15:18:00Z","blue","64345A","4898C","None","None","5","4344Y","2606A","None","None","6"
"Qualifier #20","2019-11-02T15:24:00Z","blue","1898S","817B","None","None","3","3379A","4344X","None","None","9"
"Qualifier #21","2019-11-02T15:30:00Z","blue","817F","2606B","None","None","7","1898A","1898R","None","None","18"
"Qualifier #22","2019-11-02T15:36:00Z","blue","4898B","4344Z","None","None","1","2442B","49585B","None","None","17"
"Qualifier #23","2019-11-02T15:42:00Z","blue","817D","4898A","None","None","2","3157A","4811A","None","None","11"
"Qualifier #24","2019-11-02T15:48:00Z","blue","4344A","2606B","None","None","1","4898C","4344Z","None","None","14"
"Qualifier #25","2019-11-02T15:54:00Z","red","2606A","9421X","None","None","14","4898B","817D","None","None","0"
"Qualifier #26","2019-11-02T16:00:00Z","red","817F","3379A","None","None","8","4898A","817B","None","None","7"
"Qualifier #27","2019-11-02T16:06:00Z","blue","4811A","64345A","None","None","7","1898S","1898A","None","None","29"
"Qualifier #28","2019-11-02T16:12:00Z","blue","1898R","4344X","None","None","9","3157A","4344Y","None","None","10"
"Qualifier #29","2019-11-02T16:18:00Z","red","49585B","2442B","None","None","24","2606C","1898S","None","None","1"
"Qualifier #30","2019-11-02T16:24:00Z","red","9421X","4344Y","None","None","15","3379A","4898C","None","None","6"
"Qualifier #31","2019-11-02T16:30:00Z","tie","1898R","2606C","None","None","6","4898A","4898B","None","None","6"
"Qualifier #32","2019-11-02T16:36:00Z","blue","2606B","2606A","None","None","14","2442B","817B","None","None","17"
"Qualifier #33","2019-11-02T16:42:00Z","red","817D","1898A","None","None","15","817F","49585B","None","None","6"
"Qualifier #34","2019-11-02T16:48:00Z","blue","4344Z","3157A","None","None","10","4811A","4344X","None","None","24"
"Qualifier #35","2019-11-02T16:54:00Z","blue","4344A","64345A","None","None","2","2442B","4898A","None","None","50"
"Qualifier #36","2019-11-02T17:00:00Z","blue","4898B","1898S","None","None","0","4344Y","2606C","None","None","5"
"Qualifier #37","2019-11-02T17:06:00Z","blue","4898C","1898R","None","None","12","817B","4811A","None","None","20"
"Qualifier #38","2019-11-02T17:12:00Z","tie","4344X","817D","None","None","9","2606B","64345A","None","None","9"
"Qualifier #39","2019-11-02T17:18:00Z","blue","3379A","49585B","None","None","1","3157A","4344A","None","None","9"
"Qualifier #40","2019-11-02T17:24:00Z","blue","2606A","9421X","None","None","9","817F","4344Z","None","None","13"
"Qualifier #41","2019-11-02T17:30:00Z","red","1898A","817B","None","None","25","4344A","4344Y","None","None","9"
"QF #1-1","N/A","red","2442B","1898A","None","None","35","49585B","4898C","None","None","6"
"QF #2-1","N/A","blue","1898R","817B","None","None","8","3157A","817F","None","None","14"
"QF #3-1","N/A","red","4344X","9421X","None","None","31","2606A","2606B","None","None","6"
"QF #4-1","N/A","red","4811A","4898A","None","None","15","2606C","3379A","None","None","9"
"SF #1-1","N/A","red","2442B","1898A","None","None","58","3157A","817F","None","None","7"
"SF #2-1","N/A","red","4344X","9421X","None","None","30","4811A","4898A","None","None","15"
"Final #1-1","N/A","red","2442B","1898A","None","None","33","4344X","9421X","None","None","20"
