"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2019-11-09T14:30:00Z","blue","10102X","64345A","None","None","8","1898R","375X","None","None","17"
"Qualifier #2","2019-11-09T14:34:00Z","red","2602H","9421X","None","None","25","4716A","48425A","None","None","24"
"Qualifier #3","2019-11-09T14:38:00Z","red","1898A","63857E","None","None","23","2442A","1898M","None","None","22"
"Qualifier #4","2019-11-09T14:42:00Z","red","9228A","9228B","None","None","18","1127Z","785Z","None","None","9"
"Qualifier #5","2019-11-09T14:46:00Z","tie","2713A","2442F","None","None","6","2713B","4344X","None","None","6"
"Qualifier #6","2019-11-09T14:50:00Z","blue","9421V","3379A","None","None","6","9228C","9421R","None","None","16"
"Qualifier #7","2019-11-09T14:54:00Z","blue","785E","785A","None","None","11","4716D","2442B","None","None","31"
"Qualifier #8","2019-11-09T14:58:00Z","blue","10102A","2442E","None","None","4","977Z","63857A","None","None","36"
"Qualifier #9","2019-11-09T15:02:00Z","red","63857D","785B","None","None","26","2713C","9228A","None","None","1"
"Qualifier #10","2019-11-09T15:06:00Z","red","1127Z","48425A","None","None","15","9228C","2713A","None","None","8"
"Qualifier #11","2019-11-09T15:10:00Z","tie","375X","1898M","None","None","12","2442F","2602H","None","None","12"
"Qualifier #12","2019-11-09T15:14:00Z","red","4344X","63857E","None","None","10","10102A","64345A","None","None","9"
"Qualifier #13","2019-11-09T15:18:00Z","red","9421X","1898R","None","None","13","785B","785E","None","None","8"
"Qualifier #14","2019-11-09T15:22:00Z","blue","785Z","2713C","None","None","4","3379A","2442E","None","None","9"
"Qualifier #15","2019-11-09T15:26:00Z","blue","977Z","4716A","None","None","18","9228B","4716D","None","None","24"
"Qualifier #16","2019-11-09T15:30:00Z","red","2442B","2442A","None","None","49","63857D","9421V","None","None","24"
"Qualifier #17","2019-11-09T15:34:00Z","red","9421R","63857A","None","None","14","10102X","785A","None","None","3"
