"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2019-11-23T14:15:00Z","blue","8568C","1898A","None","None","8","9228B","3379A","None","None","20"
"Qualifier #2","2019-11-23T14:18:30Z","blue","697D","63857E","None","None","5","1898R","1717K","None","None","33"
"Qualifier #3","2019-11-23T14:22:00Z","red","2602A","16738B","None","None","33","9228A","8025B","None","None","8"
"Qualifier #4","2019-11-23T14:25:30Z","blue","2602E","8568A","None","None","9","2602K","5313A","None","None","10"
"Qualifier #5","2019-11-23T14:29:00Z","blue","99928A","2621A","None","None","2","785B","41364A","None","None","10"
"Qualifier #6","2019-11-23T14:32:30Z","red","1784X","1784Y","None","None","19","8568D","697X","None","None","5"
"Qualifier #7","2019-11-23T14:36:00Z","blue","2602M","99928E","None","None","3","63857D","8568B","None","None","24"
"Qualifier #8","2019-11-23T14:39:30Z","red","2602H","4716D","None","None","20","8025A","8568E","None","None","4"
"Qualifier #9","2019-11-23T14:43:00Z","red","977Z","4478D","None","None","30","99928C","81118P","None","None","2"
"Qualifier #10","2019-11-23T14:46:30Z","blue","1717B","2602D","None","None","15","8568X","1898M","None","None","16"
"Qualifier #11","2019-11-23T14:50:00Z","red","1784Z","8568F","None","None","8","4716A","1784W","None","None","7"
"Qualifier #12","2019-11-23T14:53:30Z","blue","99928B","785E","None","None","3","63857A","8568H","None","None","33"
"Qualifier #13","2019-11-23T14:57:00Z","blue","5313B","2602B","None","None","6","8568G","30906A","None","None","10"
"Qualifier #14","2019-11-23T15:00:30Z","blue","8025C","2602C","None","None","13","9228C","785Z","None","None","36"
"Qualifier #15","2019-11-23T15:04:00Z","blue","2602G","99928D","None","None","7","5313C","2602F","None","None","9"
"Qualifier #16","2019-11-23T15:07:30Z","red","30906B","785A","None","None","9","2602M","8025A","None","None","6"
"Qualifier #17","2019-11-23T15:11:00Z","blue","8568E","41364A","None","None","27","8568A","8568X","None","None","46"
"Qualifier #18","2019-11-23T15:14:30Z","blue","785B","2602D","None","None","6","8568F","2602A","None","None","16"
"Qualifier #19","2019-11-23T15:18:00Z","red","81118P","9228A","None","None","23","1784Y","697D","None","None","2"
"Qualifier #20","2019-11-23T15:21:30Z","red","63857A","1784W","None","None","39","63857E","99928E","None","None","6"
"Qualifier #21","2019-11-23T15:25:00Z","blue","8568B","977Z","None","None","20","4716D","1784X","None","None","22"
"Qualifier #22","2019-11-23T15:28:30Z","blue","2602K","30906A","None","None","25","8025B","1898A","None","None","54"
"Qualifier #23","2019-11-23T15:32:00Z","red","99928B","2602E","None","None","8","99928D","8568C","None","None","4"
"Qualifier #24","2019-11-23T15:35:30Z","red","785Z","3379A","None","None","12","2602H","30906B","None","None","4"
"Qualifier #25","2019-11-23T15:39:00Z","blue","1717K","2602F","None","None","10","1717B","697X","None","None","12"
"Qualifier #26","2019-11-23T15:42:30Z","red","9228C","8568H","None","None","13","8568G","99928C","None","None","5"
"Qualifier #27","2019-11-23T15:46:00Z","red","4716A","1898M","None","None","17","8025C","2602B","None","None","8"
"Qualifier #28","2019-11-23T15:49:30Z","red","1898R","9228B","None","None","48","2602C","8568D","None","None","1"
"Qualifier #29","2019-11-23T15:53:00Z","red","63857D","4478D","None","None","44","16738B","2621A","None","None","6"
"Qualifier #30","2019-11-23T15:56:30Z","red","785A","2602G","None","None","11","99928A","5313B","None","None","3"
"Qualifier #31","2019-11-23T16:00:00Z","blue","5313A","5313C","None","None","12","1784Z","785E","None","None","13"
"Qualifier #32","2019-11-23T16:03:30Z","red","99928D","9228A","None","None","18","99928E","41364A","None","None","8"
"Qualifier #33","2019-11-23T16:07:00Z","red","8025B","9228C","None","None","26","81118P","30906B","None","None","8"
"Qualifier #34","2019-11-23T16:10:30Z","red","1898M","2602F","None","None","36","8568E","8568C","None","None","15"
"Qualifier #35","2019-11-23T16:14:00Z","blue","2602C","2602M","None","None","4","1784W","1717B","None","None","7"
"Qualifier #36","2019-11-23T16:17:30Z","red","63857D","99928C","None","None","13","1898R","2602A","None","None","11"
"Qualifier #37","2019-11-23T16:21:00Z","blue","8568F","8568G","None","None","4","2602E","977Z","None","None","14"
"Qualifier #38","2019-11-23T16:24:30Z","blue","8568X","785B","None","None","26","5313A","63857A","None","None","36"
"Qualifier #39","2019-11-23T16:28:00Z","tie","1717K","8568H","None","None","10","4716D","99928A","None","None","10"
"Qualifier #40","2019-11-23T16:31:30Z","blue","8568D","8568A","None","None","12","697D","1898A","None","None","41"
"Qualifier #41","2019-11-23T16:35:00Z","blue","8568B","4716A","None","None","3","99928B","4478D","None","None","33"
"Qualifier #42","2019-11-23T16:38:30Z","blue","63857E","2602H","None","None","14","1784X","30906A","None","None","17"
"Qualifier #43","2019-11-23T16:42:00Z","red","3379A","16738B","None","None","15","2602D","5313C","None","None","7"
"Qualifier #44","2019-11-23T16:45:30Z","tie","8025A","1784Z","None","None","15","2602B","9228B","None","None","15"
"Qualifier #45","2019-11-23T16:49:00Z","blue","2602K","1784Y","None","None","5","785Z","785A","None","None","22"
"Qualifier #46","2019-11-23T16:52:30Z","red","785E","697X","None","None","23","2621A","5313B","None","None","9"
"Qualifier #47","2019-11-23T16:56:00Z","blue","8568E","8025C","None","None","3","2602G","785B","None","None","19"
"Qualifier #48","2019-11-23T16:59:30Z","blue","5313A","99928A","None","None","7","1784W","1898M","None","None","11"
"Qualifier #49","2019-11-23T17:30:00Z","red","8568G","8568X","None","None","39","1898A","99928D","None","None","33"
"Qualifier #50","2019-11-23T17:33:00Z","blue","30906B","2602E","None","None","6","2602F","9228A","None","None","23"
"Qualifier #51","2019-11-23T17:36:00Z","red","5313C","2602A","None","None","29","81118P","99928E","None","None","25"
