"Match","Start Time","Winner","Red Team (1)","Red Team (2)","Red Team (3)","Red Team (Sitting)","Red Score","Blue Team (1)","Blue Team (2)","Blue Team (3)","Blue Team (Sitting)","Blue Score"
"Qualifier #1","2019-12-07T14:00:00Z","red","902B","5150G","None","None","9","39545B","4478C","None","None","6"
"Qualifier #2","2019-12-07T14:02:35Z","blue","1618A","50239A","None","None","5","1188B","8878F","None","None","10"
"Qualifier #3","2019-12-07T14:05:10Z","blue","8878G","17814V","None","None","5","8079M","8079A","None","None","12"
"Qualifier #4","2019-12-07T14:07:45Z","blue","902E","17814A","None","None","9","3157A","8079R","None","None","17"
"Qualifier #5","2019-12-07T14:10:20Z","red","1697B","18891B","None","None","9","50239B","17814E","None","None","3"
"Qualifier #6","2019-12-07T14:12:55Z","red","195A","8878C","None","None","9","39545A","17814Y","None","None","4"
"Qualifier #7","2019-12-07T14:15:30Z","red","4478D","5150H","None","None","52","902X","9909F","None","None","10"
"Qualifier #8","2019-12-07T14:18:05Z","red","17814B","18891A","None","None","7","8079C","195B","None","None","5"
"Qualifier #9","2019-12-07T14:20:40Z","red","9909B","17814W","None","None","6","877H","9909C","None","None","5"
"Qualifier #10","2019-12-07T14:23:15Z","blue","8878E","1695D","None","None","12","12345A","4478Z","None","None","18"
"Qualifier #11","2019-12-07T14:25:50Z","red","195C","17814X","None","None","12","4478V","1695A","None","None","11"
"Qualifier #12","2019-12-07T14:28:25Z","red","41364A","1697A","None","None","21","4478B","3157N","None","None","8"
"Qualifier #13","2019-12-07T14:31:00Z","blue","8878B","902D","None","None","4","162A","877J","None","None","20"
"Qualifier #14","2019-12-07T14:33:35Z","red","195E","5150E","None","None","15","8878A","9909D","None","None","10"
"Qualifier #15","2019-12-07T14:36:10Z","red","1695C","5150J","None","None","42","877Z","17814Z","None","None","12"
"Qualifier #16","2019-12-07T14:38:45Z","tie","5150K","17814C","None","None","6","5150D","8878D","None","None","6"
"Qualifier #17","2019-12-07T14:41:20Z","red","1695B","1188A","None","None","15","4478F","4478A","None","None","7"
"Qualifier #18","2019-12-07T14:43:55Z","blue","902C","17814D","None","None","15","195D","4478R","None","None","23"
"Qualifier #19","2019-12-07T14:46:30Z","red","9909A","5150F","None","None","17","17814F","8079C","None","None","14"
"Qualifier #20","2019-12-07T14:49:05Z","red","1697B","877H","None","None","9","18891A","17814X","None","None","6"
"Qualifier #21","2019-12-07T14:51:40Z","red","4478B","3157A","None","None","33","17814B","195C","None","None","6"
"Qualifier #22","2019-12-07T14:54:15Z","blue","902B","8079R","None","None","7","17814V","41364A","None","None","22"
"Qualifier #23","2019-12-07T14:56:50Z","blue","8878F","8878C","None","None","3","4478D","17814W","None","None","39"
"Qualifier #24","2019-12-07T14:59:25Z","blue","1188B","8878G","None","None","7","902D","5150G","None","None","18"
"Qualifier #25","2019-12-07T15:02:00Z","blue","18891B","8878D","None","None","3","1695C","50239A","None","None","10"
"Qualifier #26","2019-12-07T15:04:35Z","blue","12345A","9909C","None","None","5","5150K","17814A","None","None","9"
"Qualifier #27","2019-12-07T15:07:10Z","red","4478R","4478Z","None","None","34","50239B","195B","None","None","18"
"Qualifier #28","2019-12-07T15:09:45Z","red","4478V","4478F","None","None","33","195E","17814C","None","None","5"
"Qualifier #29","2019-12-07T15:12:20Z","red","39545B","195D","None","None","23","1618A","195A","None","None","11"
"Qualifier #30","2019-12-07T15:14:55Z","red","8079M","9909B","None","None","15","5150F","5150H","None","None","12"
"Qualifier #31","2019-12-07T15:17:30Z","blue","9909D","8878E","None","None","4","8878B","5150J","None","None","42"
"Qualifier #32","2019-12-07T15:20:05Z","tie","17814Y","17814Z","None","None","9","1188A","17814D","None","None","9"
"Qualifier #33","2019-12-07T15:22:40Z","blue","39545A","162A","None","None","11","5150E","1695B","None","None","34"
"Qualifier #34","2019-12-07T15:25:15Z","blue","8878A","9909F","None","None","6","1695D","902C","None","None","16"
"Qualifier #35","2019-12-07T15:27:50Z","red","1695A","4478C","None","None","11","9909A","4478A","None","None","10"
"Qualifier #36","2019-12-07T15:30:25Z","blue","8079A","3157N","None","None","26","877J","17814E","None","None","31"
"Qualifier #37","2019-12-07T15:33:00Z","blue","877Z","902X","None","None","4","17814F","5150D","None","None","18"
